# DESCRIPTION:
# Reference: Weldeab, S., D.W. Lea, R.R. Schneider, and N. Andersen. 2007. 155,000 Years of West African Monsoon and Ocean Thermal Evolution. Science, Vol. 316, pp. 1303-1307, doi: 10.1126/science.1140461.
# Data from: https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/weldeab2007/
# Comment: Several variables from the original dataset are not included here.

Depth [cm],Age [kyr BP],G. ruber d18O [‰ PDB],SST [C] from Mg/Ca
2655.5,109.95,-1.46,26.29
2660.5,110.34,-1.52,25.86
2665.5,110.73,-1.62,26.01
2670.5,111.12,-1.69,26.28
2675.5,111.51,-1.99,26.37
2680.5,111.9,-2.07,26.47
2685.5,112.29,-2.02,25.71
2690.5,112.68,-2.14,26.52
2695.5,113.07,-2.04,25.64
2700.5,113.46,-2.51,26.33
2705.5,113.84,-2.1,25.65
2710.5,114.23,,27.13
2715.5,114.62,-2.22,26.77
2720.5,115.01,-2.29,25.63
2725.5,115.4,-2.27,26.16
2730.5,115.46,-1.93,25.79
2735.5,115.51,-1.82,26.32
2740.5,115.57,,25.77
2745.5,115.78,-2.19,26.3
2750.5,115.99,-1.83,27.14
2755.5,116.2,-1.72,26.4
2760.5,116.41,-1.71,26
2765.5,116.61,-1.75,25.63
2770.5,116.82,-1.9,25.68
2775.5,117.03,-1.7,26.33
2780.5,117.24,-1.74,25.97
2785.5,117.45,-1.84,26.1
2790.5,117.66,-1.89,25.81
2795.5,117.87,-1.84,25.66
2800.5,118.08,-2.01,26.69
2805.5,118.29,-2.09,27.03
2810.5,118.5,-2.05,27.13
2815.5,118.7,-1.93,26.39
2820.5,118.91,-1.91,26.95
2825.5,119.12,-2.36,26.3
2830.5,119.33,,26.64
2835.5,119.54,-2.13,26.04
2840.5,119.69,-1.96,27.33
2845.5,119.84,-2,25.87
2850.5,119.99,-2.19,26.22
2855.5,120.14,-1.95,26.24
2860.5,120.29,-2.22,25.71
2865.5,120.44,-1.99,26.83
2870.5,120.59,-2.41,26.76
2875.5,120.74,-2.13,26.71
2880.5,120.89,,
2885.5,121.04,-2.34,26.8
2890.5,121.19,-2.22,25.86
2895.5,121.34,-2.4,26.02
2900.5,121.49,,26.56
2905.5,121.64,-2.47,26.1
2910.5,121.79,-2.76,27.27
2915.5,121.94,-2.46,26.26
2920.5,122.09,-2.79,27.35
2925.5,122.24,-2.76,26.94
2930.5,122.39,-2.97,27.05
2935.5,122.54,-2.9,26.1
2940.5,122.69,-2.68,27.09
2945.5,122.84,-2.91,27.29
2950.5,122.99,-2.88,26.71
2955.5,123.14,-2.96,27.66
2960.5,123.29,-2.84,27.7
2965.5,123.44,-2.75,26.91
2970.5,123.59,-2.9,27.72
2975.5,123.74,-2.9,27.53
2995.5,124.35,-2.96,28.1
3000.5,124.5,-2.75,28.31
3005.5,124.65,-2.78,27.57
3010.5,124.8,-2.73,27.73
3015.5,124.95,-2.79,27.04
3020.5,125.1,-2.9,27.62
3025.5,125.25,-3.01,26.91
3030.5,125.4,-3.21,27.62
3035.5,125.55,-3.2,27.7
3040.5,125.7,-2.61,27.35
3045.5,125.85,-2.74,26.88
3050.5,126,-2.66,27.16
3055.5,126.15,-2.61,27.02
3060.5,126.3,-2.58,27.41
3065.5,126.45,-2.71,26.92
3070.5,126.6,,27.82
3075.5,126.75,-2.03,27.39
3080.5,126.9,-1.94,27.5
3085.5,127.05,-2.02,28.26
3090.5,127.2,-2,27.52
3095.5,127.35,,26.56
3100.5,127.5,-1.85,26.3
3105.5,127.65,-2.03,26.86
3110.5,127.8,-1.63,26.61
3115.5,127.95,-1.55,26.64
3120.5,128.1,-1.17,26.08
3125.5,128.25,-1.26,26.85
3130.5,128.4,-0.95,26.82
3135.5,128.55,-0.78,26.04
3140.5,128.7,,26.09
3145.5,128.85,-0.7,26.95
3155.5,129.5,-0.68,26.02
3160.5,130,-0.6,26.02
3165.5,130.5,-0.49,25.69
3170.5,131,-0.44,24.99
3175.5,131.5,,25.48
3180.5,132,-0.39,24.56
3185.5,132.5,-0.32,24.46
3190.5,133,-0.65,24.78
3195.5,133.5,-0.59,24.47
3200.5,134,-0.53,24.44
3205.5,134.5,-0.5,24.14
3210.5,135,-0.61,24.08
3215.5,135.17,-0.56,24
3220.5,135.35,-0.66,24.72
3225.5,135.52,-0.44,24
3230.5,135.7,-0.65,25.78
3235.5,135.87,,23.53
3240.5,136.05,-0.55,24.33
3245.5,136.22,-0.54,24.38
3250.5,136.4,-0.6,24.72
3255.5,136.57,-0.61,23.94
3260.5,136.75,-0.65,23.86
3265.5,136.92,-0.6,24.43
3270.5,137.1,-0.66,23.59
3275.5,137.27,-0.46,24.04
3280.5,137.44,-0.24,24.01
3285.5,137.62,,24.45
3290.5,137.79,-0.48,24.07
3295.5,137.97,-0.48,25.49
3300.5,138.14,-0.73,24.11
3305.5,138.32,-0.63,23.49
3310.5,138.49,-0.58,22.82
3315.5,138.67,-0.71,23.43
3320.5,138.84,-0.58,23.91
3325.5,139.02,-0.72,23.31
3330.5,139.19,-0.7,23.91
3335.5,139.36,,23.18
3340.5,139.54,-0.83,23.24
3345.5,139.71,,23.63
3350.5,139.89,-0.7,23.28
3355.5,140.06,-0.72,23.67
3360.5,140.24,-0.81,23.78
3365.5,140.41,-0.96,23.69
3370.5,140.59,-0.79,23.08
3375.5,140.8,-0.74,22.69
3380.5,141,-0.69,23.7
3385.5,141.21,-0.74,23.88
3390.5,141.42,-0.92,23.78
3395.5,141.63,-1.02,23.7
3400.5,141.84,,23.41
3405.5,142.05,-1.02,24.03
3410.5,142.26,-0.94,23.81
3415.5,142.47,-0.7,23.45
3420.5,142.68,-1.02,23.98
3425.5,142.88,-0.84,24.8
3430.5,143.09,-0.88,23.96
3435.5,143.3,-1.09,23.96
3440.5,143.51,-1.13,24.27
3445.5,143.72,-1.18,24.81
3450.5,143.93,-0.72,24.61
3455.5,144.14,-0.75,23.71
3460.5,144.35,-0.81,24.24
3465.5,144.56,-0.87,23.98
3470.5,144.76,-0.99,23.93
3475.5,144.97,-0.79,24.09
3480.5,145.18,-0.89,23.48
3485.5,145.39,-0.98,23.26
3490.5,145.6,-0.98,24.07
3495.5,145.81,-0.99,24.54
3500.5,146.02,-0.96,24.41
3505.5,146.23,-0.96,24.31
3510.5,146.44,-0.89,23.8
3515.5,146.64,-1.04,24.24
3520.5,146.85,,24.34
3525.5,147.06,-0.98,24.35
3530.5,147.27,-1.06,25.04
3535.5,147.48,-1.08,24.98
3540.5,147.69,-1.55,24.06
3545.5,147.9,-0.82,24.53
3550.5,148.11,-1.04,24.91
3555.5,148.32,-0.63,24.72
3560.5,148.52,-0.67,24.23
3565.5,148.73,-1.11,25.22
3570.5,148.94,-1.29,24.8
3575.5,149.15,-1.26,24.5
3580.5,149.36,-0.84,24.46
3585.5,149.57,-0.79,24.83
3590.5,149.78,-0.61,
3595.5,149.99,,25.03
3600.5,150.2,-0.95,25.61
3605.5,150.4,-0.33,25.12
3610.5,150.61,-0.8,24.57
3615.5,150.82,-0.66,24.38
3620.5,151.03,-0.74,24.84
3625.5,151.24,-1,24.52
3630.5,151.45,-0.85,24.58
3635.5,151.66,,24.29
3640.5,151.87,-0.78,24.82
3645.5,152.08,-0.56,24.54
3650.5,152.28,-0.62,24.5
3655.5,152.49,-0.96,24.68
3660.5,152.7,-0.63,24.63
3665.5,152.91,,24.68
3670.5,153.12,-0.61,24.23
3675.5,153.33,,24.54
3680.5,153.54,-0.62,24.06
3685.5,153.75,,23.81
3690.5,153.96,-0.65,24.12
3695.5,154.16,-0.38,23.22
3700.5,154.37,-0.55,23.63
3705.5,154.58,-0.67,23.39
3710.5,154.79,-0.54,23.73
3715.5,155,-0.8,23.67
3720.5,155.21,,23.57
3725.5,155.42,-0.81,23.79
3730.5,155.63,,
