/* DESCRIPTION:
Reference:	Hodell, D.A., K.A. Venz, C.D. Charles, and U.S. Ninnemann.  2003. Pleistocene vertical carbon isotope and carbonate gradients in the South Atlantic sector of the Southern Ocean. Geochemistry, Geophysics, Geosystems, Vol. 4, Number 1, 1004, doi:1010.1029/2002GC000367
Data from:	https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/hodell2003/. Accessed 22 Nov 2022.
Comment:	Empty data points were removed.
	Several variables from the original dataset are not included here.
*/
Age (ka)	d18O G. bulloides (permil)	d13C G. bulloides (permil)	d18O Cibicidoides (permil)	d13C Cibicidoides (permil)	CaCO3 (wt%)
188.4	2.61	-0.19			7.4
188.75	2.86	0.08	3.56	-0.65	13.8
189.1	2.74	-0.1	3.55	-0.38	11.3
189.44					10.8
189.79	2.81	0.21	3.44	-0.61	10.9
190.13	2.74	0.5			8
190.48	2.65	-0.12			1.2
190.83	2.79	0.16			0
191.17	2.34	-0.27			0
191.52					0
191.87					0.3
192.21					0
192.56	2.71	0.22			5
192.9	2.53	-0.16			1.5
193.25	2.61	0.27			3.7
193.6					0
193.94					0
194.37					0
194.94					0
195.51					3.4
196.08	2.46	-0.35			
196.08					4
196.65	2.2	0.38			7.8
197.22	2.56	0.47			9.2
197.79	2.27	0.01			14.3
198.35					15.8
198.92					14.8
199.49					12
200.06	2.43	0.28			9.5
200.63					0.8
201.2					0.6
201.77	2.64	0.06			0
202.34					0
202.91					0.2
203.47					1.8
204.04					4.8
204.62	2.46	0.41			3.3
205.25					4.6
205.88	2.55	0.63			4.2
206.52					4.8
207.15	2.61	0.6			5.7
207.78	2.36	0.27			4.8
208.42	2.46	0.22			6.4
209.05	2.35	0.62			10.7
209.68	2.42	0.61			12.6
210.32	2.19	0.35			16.3
210.95					20.9
211.58					23.3
212.22	2.08	0.18			26.3
212.85	1.94	0.1			27.7
213.48	2.45	0.31			30.5
214.12	2.02	0.66			33.3
214.75	2.41	0.64			34.4
215.38	2.36	0.72			36.1
216.01					37.2
216.54	2.31	0.6			40.7
217.03	2.39	0.27			44.6
217.53	2.37	0.43	2.8	-0.5	43.2
218.02	2.29	0.1			41.6
218.51	2.24	0.44	2.88	-0.6	39
219.01	2.48	0.34	3.04	-0.51	37.3
219.5	2.72	0.46			39
220	2.71	0.51	3.11	-0.71	33.2
220.49			3.32	-0.68	27.9
220.98					23.1
221.48	2.59	-0.18	3.33	-0.86	20.3
221.97	2.7	-0.06			19.6
222.46	2.64	-0.31	3.44	-1.09	17.7
222.96	2.71	-0.15			17.3
223.45					16.8
223.94	3.04	-0.06			18.3
224.44					10.9
224.93	3.01	0.11	3.56	-0.8	7.8
225.36					10.3
225.71	2.84	0.16	3.54	-0.53	12.6
226.06					15.8
226.41	3.03	0			17.3
226.77	2.94	0.16	3.58	-0.88	19.9
227.12	2.94	0.22	3.58	-0.87	25.4
227.47	2.76	-0.11			28.5
227.82	3.02	0.47	3.62	-0.65	29.5
228.31	2.68	-0.15	3.55	-0.77	29
228.67	2.91	0.2	3.54	-0.68	26.9
229.02	2.86	0.16	3.48	-0.64	19
229.37			3.4	-0.52	8.3
229.72					1.3
230.07	2.62	0.06			0.1
230.43					0.8
230.78	2.72	0.12			1.6
231.13	2.62	0.09			6.9
231.48	2.74	0.16			10.7
231.82					13.5
232.14	2.7	0.26	3.49	-0.62	10.8
232.47			3.42	-0.7	11.8
232.79	2.39	-0.29			8.9
233.11					4.2
233.44	2.4	-0.02			7.6
233.76					8.9
234.09	2.72	0.12	3.49	-0.44	10.1
234.41					13.4
234.73	2.28	0.02			12.5
235.06	2.47	0.26	3.29	-0.72	12.5
235.38	2.44	0.15	3.2	-0.6	11
235.7	2.51	0.27	3.34	-0.57	14.2
236.03	2.41	-0.05	3.3	-0.61	14.3
236.35	2.5	-0.05			10.9
236.68	2.26	0.19			14.9
237	2.75	0.33	2.88	-0.54	14.9
237.32	2.35	0.41	3.05	-0.31	17.8
237.68	2.35	0.37	3.01	-0.44	20
238.12	2.3	0.5	2.89	-0.18	28.8
238.56	2.29	0.61			30.9
239	2.5	0.74			34.2
239.44	2.41	0.6	2.86	-0.27	37.3
239.88	2.45	0.32	2.7	-0.33	38.5
240.32	2.35	0.64	2.73	-0.86	37.2
240.76	2.39	0.49	2.68	-0.71	40.7
241.2					40.2
241.64	2.14	0.42	2.59	-0.3	42.9
242.08	2.07	0.22	2.5	-0.42	44.1
242.51	2.27	0.3	2.58	-0.41	45.1
242.95	2.18	-0.05	2.71	-0.03	48.3
243.39	2.21	-0.06			52.5
243.83	2.02	-0.31			50.3
244.27	2.12	-0.35			54.3
244.71			3.15	-0.61	52.8
245.15	2.22	-0.18			52.1
245.58	2.79	0.1	3.45	-0.65	47
246	2.71	-0.15	3.51	-0.43	50.3
246.42	2.99	0.24	3.51	-0.85	51.1
246.83	3.07	0.21	3.59	-0.47	49.8
247.25	2.98	-0.09	3.67	-0.59	52.9
247.66	2.74	0.02	3.64	-0.7	51.5
248.07	2.96	-0.09	3.62	-0.71	50.7
248.49	2.84	-0.06	3.53	-0.81	49.6
248.9	2.91	-0.07	3.52	-0.9	40.2
249.32	2.77	-0.28	3.58	-0.61	36.6
249.73	3	-0.09	3.65	-0.76	34.9
250.14	2.76	-0.41	3.58	-0.87	37.2
250.56	3.06	-0.32	3.67	-0.98	40.6
250.97	2.79	-0.57	3.68	-0.86	45.3
251.39			3.78	-0.84	46.4
251.8	2.73	-0.39	3.79	-0.85	43.4
252.22	3.08	-0.39	3.67	-0.9	34.6
252.65	2.89	-0.53	3.85	-1.15	34.7
253.08	2.72	-0.52	3.74	-1	32.3
253.51	3.01	-0.15	3.67	-1.06	33.7
253.94	3.03	-0.43			35.8
254.38	2.98	-0.08	3.66	-0.58	37.3
254.82	2.81	-0.12	3.86	-1.12	37.9
255.27	3.01	-0.11	3.82	-0.88	37
255.72	2.98	-0.19			39.8
256.17	2.68	-0.5	3.75	-0.64	41.2
256.63	2.95	-0.18			41.6
257.09	2.89	-0.29	3.79	-0.98	40.2
257.55	2.79	-0.43			43.4
258.01	3.26	-0.17	3.74	-0.93	42.8
258.48	3.19	-0.01	3.76	-1.1	46.3
258.95	3.11	0.08			47.8
263.04	2.83	-0.28	3.89	-0.96	46.4
263.31	2.93	-0.19	3.92	-1.08	48.2
263.57	3	-0.21	3.94	-0.81	49.6
263.84	2.95	-0.05	3.87	-0.45	49.3
264.11	2.91	-0.11	3.88	-0.3	49.4
264.37	3.03	0.19	3.77	-0.69	49.8
264.64	3.23	0.37	3.86	-1.03	46.4
264.91	2.88	-0.1			47.3
265.17	3.07	0.39	3.75	-0.59	46.8
265.44	3	0.07	3.85	-0.85	48.4
265.71	2.83	-0.13	3.74	-0.48	53.5
265.97	2.87	-0.26	3.79	-0.66	49.8
266.24	2.96	-0.13	3.83	-0.59	45.9
266.51	3.01	-0.03	3.84	-0.95	46.3
266.77	2.63	-0.48	4.1	-1.15	45.7
267.04	3.03	0.02	3.72	-0.92	48.8
267.31	2.77	-0.14	3.84	-0.78	47.9
267.57	3.07	-0.11	3.83	-0.91	48.6
267.84			3.89	-1.13	47.8
268.11	2.98	-0.08	3.86	-0.66	48.9
268.37	3.06	-0.03	3.92	-0.52	48.8
268.64	3.08	-0.3	3.99	-1	45.4
268.91	3.12	0.02	3.88	-0.93	43.3
269.17	2.95	-0.49	3.86	-0.81	47.3
269.44	2.74	-0.72	3.87	-0.68	49.3
269.71	3	-0.48	3.86	-0.79	40.9
269.97	3.21	0.16	4.06	-0.75	48.3
270.24	3.28	-0.01	3.69	-0.69	44
270.51	3.15	-0.33	3.77	-1.21	39
270.77	3.19	-0.29			35.2
271.04	2.96	-0.22	3.66	-1.27	29.3
271.31			3.86	-0.97	29
271.57	2.86	-0.87	3.87	-1.2	27.5
271.84	2.87	-0.79	3.82	-1.26	26.8
272.11	2.81	-0.49	3.75	-1.43	18.3
272.37	2.58	-0.83	3.87	-1.3	15.4
272.64	2.9	-0.25	3.86	-1.68	10.3
272.91	2.85	-0.61	3.82	-1.68	10.2
273.65	2.82	-0.14	3.91	-1.26	5.6
274.13	2.78	-0.34	3.88	-1.14	5.3
274.45			3.88	-1.01	6.8
274.67	2.92	-0.35	3.86	-1.54	7.8
274.99			3.86	-1.37	8.9
275.2	2.89	-0.13	3.87	-1.63	7.5
275.52	2.74	-0.21	3.97	-1.71	8.9
275.79	2.93	0.12			10.5
276.05	2.58	-0.59	3.81	-1.3	8.8
276.27			3.88	-1.09	4.8
276.59	2.66	-0.12			3.7
276.8			3.72	-1.38	5.6
277.12			3.67	-0.27	7.8
277.33			3.86	-1.02	7.7
277.65			3.59	-0.76	4.7
277.87	2.39	-0.15	3.7	-0.95	1.9
278.19					1.5
278.45					0.4
278.72					0.6
278.93					1.2
279.25			3.69	-1.2	2.1
279.47					0.6
279.79					0
280			3.59	-0.87	0.8
280.32			3.86	-1.39	0.9
280.53					0.8
280.64			3.72	-0.7	0.3
280.85			3.73	-0.74	3.6
281.12	2.64	-0.31	3.61	-1.02	6.2
281.39			3.54	-0.52	7.3
281.6	2.17	-0.27	3.59	0.11	8.4
281.92			3.62	-0.52	7.8
282.13			3.57	0.21	3.1
282.45					2.5
282.67					0.8
282.99	2.46	0.07			1.8
283.2			3.33	-1.45	7.5
283.52			3.46	-0.56	10.6
283.79			3.5	-0.91	10.9
284.05			3.51	-0.55	13.1
284.27			3.45	-0.16	8.4
284.59			3.4	-0.5	12.1
284.8	2.54	0.5			8.1
285.12	2.53	0.71	3.43	-0.34	15.2
285.33	2.48	0.4	3.29	-0.2	14.9
285.65			3.3	-0.73	14
285.87			3.31	-0.12	14
286.19	2.3	0.01	3.22	-0.19	20.1
286.45			3.22	-0.14	24.7
286.72			3.2	-0.48	29.3
286.93	2.19	0.51	3.21	-0.37	34.3
287.25	1.71	0.01	3.07	-0.19	36.8
287.47	2.27	0.46	3.08	-0.12	39.4
287.79	2.62	0.62	3.08	-0.48	40.2
288	2.13	-0.07	3.17	-0.45	43
288.41	2.01	-0.19	3.18	-0.44	45.6
288.69	2.47	0.74	3.13	-0.59	45.7
289.1	2.42	0.51	3.21	-0.72	39.6
289.38			3.26	-0.69	29.8
289.79			3.52	-0.74	19.1
290.07	2.59	-0.11	3.4	-0.79	17.6
290.48			3.64	-0.99	20.7
290.76	2	-0.4			23.1
291.17	2.35	-0.16	3.39	-0.52	16.3
291.45	2.28	-0.08	3.45	-0.97	19.8
291.86			3.43	-0.62	15.4
292.14			3.66	-0.46	13.8
292.55	2.54	-0.31	3.47	-0.69	9.8
292.9			3.53	-1.04	9.4
293.24			3.48	-1.06	11.8
293.52	2.49	-0.17	3.54	-0.74	15.3
293.93	2.71	-0.02	3.54	-0.98	13.3
294.21			3.56	-0.58	11.3
294.62	2.39	0.03			2.3
294.9	2.46	-0.19	3.58	-0.1	3.1
295.31	2.25	-0.22			3.8
295.59	2.1	-0.29	3.52	-0.64	6.2
296	2.46	0.25	3.62	-0.95	9.8
296.18			3.09	-1.23	15.8
296.36			3.61	-0.49	16.4
296.51			3.54	-0.85	21.6
296.73			3.6	-0.78	16.9
296.87			3.61	-0.4	
297.09			3.61	-0.47	
297.24			3.64	-0.71	
297.45			3.54	-0.59	
297.6			3.56	-0.53	5.7
297.82					0.3
297.96	2.76	0.17	3.36	-0.35	3.3
298.18					0.9
298.33					1.3
298.55					4
298.69	2.3	-0.15	3.45	-0.79	5.8
298.91			3.46	-0.63	6.5
299.05			3.46	-0.38	5.4
299.27			3.51	-0.5	7.9
299.42			3.41	-0.14	9.1
299.64			3.4	-0.07	12.4
299.82	2.54	-0.29			9.4
300	2.29	0.3	3.45	-0.51	17.6
300.15	2.03	0.09			16.6
300.36	2.22	0.09	3.31	-0.18	17.9
300.51	2.18	0.37	3.27	-0.24	17.3
300.73					4.8
300.87	2.48	0.71	3.37	-0.97	5.1
301.09					3.8
301.24			3.29	-0.32	6.2
301.45			3.31	-0.43	9.8
301.64			3.56	-0.11	15.8
301.82	2.43	0.22	3.38	-0.48	16.4
301.96	2.34	0.26	3.42	-0.15	21.6
302.18	2.02	0.1	3.3	-0.11	16.9
302.36	2	-0.15	3.28	-0.48	18.8
302.55			3.34	-0.23	10.8
302.73	2.16	0.35			14.9
302.91			3.24	-0.2	14.8
303.09			3.28	-0.63	14.3
303.45	1.85	-0.23	3.08	-0.41	18.5
303.64	1.85	-0.01	3.17	-0.24	15.5
303.82	2.02	0.35	3.19	-0.24	11.6
304	2.01	0.37	3.12	-0.76	10.3
304.48	2.08	-0.34	3.07	-0.69	15.8
304.97	2.19	0.27	3.09	-0.59	9.9
305.45	1.83	-0.09	2.98	-0.59	5
305.94			2.93	-0.12	4.4
306.42	2.21	0.41	2.88	-0.27	12.2
306.9					5.8
307.39					0.2
307.87					-0.3
308.35					-0.3
308.84					-0.3
309.32					-0.3
309.81					-0.2
310.29					-0.1
310.77					0.4
311.26					-0.3
311.74					-0.3
312.23					0
312.71					-0.2
313.19	1.99	-0.01			1.1
313.68					0.3
314.16					0.4
314.65					0.3
315.13	2.05	0.49			0.6
315.61					1.6
316.1			2.74	-0.21	4.2
316.58					3.2
317.06					4.3
317.55			2.66	-0.82	6.5
318.03					4.6
318.52					4.8
319					3.5
319.48					4
319.97					5.9
320.45			2.44	-1.46	10.1
320.94					10.4
321.42			2.58	0.07	10.9
321.9					11.6
322.39					12.1
322.87			2.71	-0.22	13.8
323.35					14.6
323.84			2.51	-0.88	16.4
324.32			2.52	-0.13	15.9
324.81					17.2
325.29					16.4
325.77			2.63	-0.06	17.8
326.26			2.43	0.05	20.8
326.74					24.5
327.23					24.5
327.71					29.2
328.19			2.32	-0.61	34.3
328.68			2.39	-0.31	38.6
329.16			2.69	-0.52	43.3
329.65			2.52	-0.45	46.8
330.13	1.88	0.27	2.62	-0.61	51.5
330.61			2.48	-0.91	54.2
331.1			2.71	-0.48	53.1
331.58			2.72	-0.42	55.3
332.06			2.78	-0.45	54.1
332.55			2.95	-0.55	51
333.03			3.02	-0.45	54.6
333.52			3.17	-0.73	53.8
334			3.18	-0.63	52
334.18					53.3
334.35			3.39	-0.28	52.7
334.53			3.25	-0.56	52.9
334.71			3.48	-1.26	49.3
334.88	1.97	-0.95	3.52	-1.09	48.4
335.06			3.42	-0.46	50.8
335.24			3.79	-0.57	50.7
335.41	2.59	-0.06	3.7	-1.04	49.3
335.59	2.48	-0.17	3.74	-0.45	46.2
335.76	2.65	-0.51	3.86	-0.25	43.7
335.94			3.98	-0.83	41.6
336.12	2.68	-0.58	3.91	-1.2	40.2
336.29	2.75	-0.44	3.89	-0.99	40.7
336.47	2.78	-0.28	3.89	-0.97	38.2
336.65	2.75	-0.55	3.89	-1.35	36.9
336.82	2.78	-0.76	3.89	-0.99	37
337			3.91	-1.3	35
337.18	2.45	-0.36	4.04	-1.3	33.9
337.35	2.77	-0.72	3.95	-1.34	30
337.53	2.8	-0.75	4.06	-1.29	29.8
337.71	2.8	-0.8	4.09	-1.55	28.8
337.88	2.9	-0.4			28.2
338.06	3	-0.18	4.1	-1.46	29.9
338.24	2.39	-1.09	4.02	-1.29	33.8
338.41	2.63	-0.6	4.07	-1.41	36.3
338.59	3.01	-0.24			37.7
338.76	2.9	-0.45	4.15	-1.32	35.7
338.94	3.18	-0.2	4.16	-1.35	37.9
339.12	3.4	0.43	4.05	-1.6	38.7
339.47	3.08	0	3.99	-0.96	36
339.65	3.36	0.06	4.15	-1.29	35.8
339.82	3.02	0.02	4.04	-0.37	37.3
340			4.28	-0.78	34
340.2	3.33	0.08	4.15	-1.15	36.7
340.39	3.14	-0.09			35.3
340.59	3.36	0.12	4.23	-1.44	38.8
340.79	3.09	-0.04	4.03	-1.36	39.6
340.98	3.2	0.06	4.15	-1.04	38.6
341.18			4.13	-1.26	37.3
341.38			4.18	-1.31	36.1
341.54	3.37	-0.03			32
341.73	3.15	-0.05			31.3
341.93	2.96	-0.15			35.3
342.13	2.71	-0.31	4.08	-1.31	38.3
342.32	3.3	0.49			38.3
342.52	3.21	0.34	3.92	-1.05	38.6
342.72	3.34	0.38	4.15	-0.74	39.8
342.91	3.3	0.39	4.1	-1.27	38.5
343.11	3.48	0.3			38.5
343.31	3.27	0.12	4.11	-0.74	38.5
343.5	3.34	0.51	4.11	-1.08	39.3
343.7	3.57	0.66	4.18	-0.93	39.7
343.9	3.46	0.71	3.98	-1.11	40.8
344.09			4.1	-1.03	40.3
344.29	3.25	0.45	4.03	-1.13	40.9
344.49	3.28	0.51	4	-1.36	38.9
344.69	3	0.02	4.02	-1.23	42.6
344.88	3.29	0.43	4.02	-0.8	45.4
345.08	3.13	0.13	4.02	-1.18	43.2
345.28	3.1	0.25	3.9	-0.64	43.6
345.47			3.9	-1.17	44.3
345.67	3.11	0.44	3.91	-1.28	43.4
345.87	2.96	0.09			44.4
346.06	3.2	0.41	4.02	-1.06	48.9
346.26	3.08	0.04	3.93	-1.16	41.3
346.46	2.91	0.13	3.82	-1.22	42.3
346.65	2.99	0.06	3.93	-1.2	43.6
346.85	2.82	0.07	3.92	-0.92	47.8
347.05	2.87	0.11	3.98	-0.95	48.3
347.24	3.12	-0.03	3.88	-0.89	55.3
347.44	3.23	0.25	4	-1.28	55.3
347.64	3.32	0.23	3.87	-0.97	54.2
347.83	3.25	0.19	3.8	-0.88	48.5
348.03	3.16	0.29	3.73	-1.21	49.1
348.23	2.93	0.05	3.81	-1.14	52.5
348.43	3.07	-0.09	3.66	-0.79	50.8
348.62	2.84	-0.01	3.68	-1.14	53.7
348.82	2.88	0.25	3.79	-1.08	52.3
349.02	2.9	0.06	3.65	-1.3	51.3
349.21	3.06	0.53	3.76	-1.22	47.9
349.41	2.95	0.3	3.82	-1.17	45.7
349.61	2.69	-0.26	3.71	-1.45	46.8
349.8	2.98	0.18	3.75	-1.3	42
350	2.95	-0.05	3.65	-1.45	42.2
350.34	3.09	-0.08	3.81	-0.95	43
350.69	2.85	-0.04	3.7	-1.58	43.4
351.03	2.77	-0.46	3.7	-1.23	41.5
351.38	2.78	-0.42	3.76	-1.13	38.4
351.72	3.01	-0.01	3.71	-1.48	36.4
352.07	2.85	-0.19	3.82	-1.13	35.5
352.41	2.85	-0.74	3.79	-1.32	33.3
352.76	2.85	-0.54	3.83	-1.48	34.6
353.1	3.04	-0.05	3.8	-1.15	34.8
353.45	3.08	-0.15	3.82	-1.19	33.9
353.79	2.78	-0.3	3.83	-1.01	33.7
354.14	2.94	-0.27	3.82	-1.61	33.3
354.48	3	-0.54	3.94	1.1	29.9
354.83			3.86	-1.3	31.3
355.17	3.01	0.18	3.87	-1.25	29.3
355.21	2.96	-0.31	3.96	-0.61	28.9
355.52	3	-0.28	3.85	-1.27	29
355.86			3.92	-1.19	28.3
356.21	3.07	-0.08			25.7
356.55	2.63	-0.5	3.75	-1.39	25.3
356.9	2.5	-0.37			24.6
357.24	2.93	-0.26	3.85	-1.44	19.6
357.59	2.79	-0.55			18.2
357.93	2.86	-0.22	3.84	-0.83	16.9
358.28	2.8	-0.31	3.91	-1.57	16.5
358.62	2.94	0.33	3.98	-1.05	16
358.97	2.92	0.19	3.83	-1.15	16.6
359.31	2.97	0.04	3.88	-1.08	16.6
359.66	2.95	-0.08	3.75	-1.08	18.4
360	2.91	-0.21	3.9	-1.2	18.4
360.25	2.99	-0.05	3.85	-1.05	18.5
360.51	2.82	-0.44	3.9	-1.4	22.8
360.76	3.19	0.41			25.3
361.02			3.93	-1.24	28
361.27	2.97	-0.07	3.88	-0.89	28.1
361.52	2.81	-0.21	3.9	-1.42	30.2
361.78	3.03	-0.01	3.87	-1.26	28.6
362.03	3.01	-0.02			26.7
362.29	2.82	0.03			27.3
362.54			3.78	-1.46	29.5
362.79	2.86	-0.32	3.72	-1.11	30.8
363.05	3.04	0.12	3.8	-1.05	25.5
363.3			3.77	-1.14	26.6
363.55	3	0.2	3.67	-0.77	27.3
363.81			3.75	-1.32	23.8
364.06	3.15	0.22	3.73	-1.08	18.9
364.32	2.98	0.12	3.64	-1.21	17.6
364.57	3.04	0.41	3.64	-1.01	19.4
364.82	3.07	0.63	3.65	-1.02	21.5
365.08			3.7	-1.04	24.4
365.33	3	0.57	3.73	-1.26	25.5
365.59	2.96	0.17	3.66	-1.3	25.6
365.84	2.83	0.05	3.69	-0.96	24.3
366.09	2.91	0.01	3.68	-0.98	26.4
366.35	2.95	-0.13	3.66	-0.86	20.8
366.6	2.88	0	3.57	-1.13	19.8
366.86	2.8	-0.07	3.65	-1.16	24.6
367.11	2.75	-0.06	3.57	-1.27	31.5
367.36	2.73	-0.17	3.53	-1.04	37.3
367.62	2.87	0.1			37.5
367.87	2.85	0.44	3.4	-1.12	29.6
368.12	2.71	-0.07	3.36	-0.8	18.4
368.38	2.65	0.04	3.3	-1.14	15.9
368.63	2.49	-0.24	3.54	-1.26	12.6
368.89	2.53	-0.18	3.66	-0.94	12.3
369.14	2.61	-0.19	3.65	-1.37	15.7
369.39	2.46	-0.05	3.53	-1.35	20.3
369.65	2.54	-0.18	3.61	-1.03	26.1
369.9	2.73	0.32	3.68	-0.55	28.3
370	2.65	0.17			27.1
370.26	2.64	0.23	3.54	-0.77	29.5
370.51			3.56	-0.89	23.8
370.77	2.76	0.51	3.56	-1.13	15.4
371.02	2.71	0.02	3.5	-0.94	19.2
371.27	2.61	0.11	3.54	-0.83	16.1
371.53	2.5	0	3.52	-1.19	15.6
371.78	2.52	-0.27	3.51	-1.11	13.7
372.04			3.53	-1.08	15.1
372.29	2.59	-0.07	3.57	-1.14	21.3
372.54	2.67	0.23	3.59	-1.03	23.9
372.8	2.68	0.08	3.49	-1.38	24.9
373.05			3.42	-0.93	26.7
373.3			3.54	-0.95	22.8
373.56	2.68	0.15	3.35	-1.05	14
373.81	2.68	0.05	3.48	-1.33	14.3
374.07	2.47	0.06	3.45	-1.36	16.1
374.32	2.9	0.03	3.5	-0.8	20.2
374.57	2.45	0.22	3.61	-0.59	21.3
374.83	2.67	0.32	3.54	-1.3	23.1
375.08	2.72	0.45	3.52	-0.95	24.6
375.34	2.95	0.36	3.54	-0.94	25.7
375.59			3.59	-0.78	26.4
375.84	2.71	0.09	3.54	-0.37	26.6
376.1	2.65	-0.15	3.46	-0.37	26.7
376.35	2.45	-0.06			26.6
376.61	2.73	0.45	3.48	-0.32	31.4
376.86	2.56	0.2	3.51	-0.28	30
377.11	2.75	0.53	3.57	-0.11	32.6
377.37	2.59	0.23	3.52	-0.64	29.1
377.62	2.54	-0.18	3.61	-0.49	25.8
377.87	2.47	-0.39	3.45	-0.22	21.1
378.13	2.42	0.14	3.46	-0.56	14.8
378.38			3.33	-0.71	6.9
378.64	2.46	0.2	3.32	-1.74	4
378.89	2.62	0.36	3.55	-1.08	4.4
379.14	2.44	0	3.47	-0.94	6.3
379.4	2.43	0.1	3.52	-0.56	10.1
379.65	2.54	-0.14	3.5	-0.55	11.5
379.91	2.86	0.24	3.57	-0.6	11.9
380.16	2.71	0.23	3.5	-0.69	12
380.41	2.55	-0.07	3.58	-0.85	10.8
380.67	2.5	0.34	3.53	0.06	13.7
380.92	2.58	0.53	3.44	-0.55	12.4
381.18	2.4	0.29	3.45	-0.33	20
381.43	2.57	0.48	3.32	-0.72	18.8
381.68	2.71	0.27	3.55	-0.43	20.3
381.94	2.52	0.47	3.58	-0.28	16.4
382.19	2.56	0.26	3.47	-0.12	16.8
382.45	2.52	0.56	3.48	-0.2	17.1
382.7			3.43	-0.36	12.9
382.95	2.08	0.07	3.42	-0.14	12
383.21	2.6	0.24	3.46	-0.56	11
383.46	2.4	-0.03	3.41	-0.48	14.3
383.71	2.36	0.41	3.39	-0.55	17.8
383.97	2.46	0.34			16.4
384.22	2.58	0	3.44	-0.01	17.2
384.48			3.37	-0.06	25.2
384.73	2.32	0.14	3.22	-0.1	14.6
384.98					15.8
385.24	2.4	0.2	3.32	-0.06	19.4
385.49	2.6	0.78			16.3
385.75			3.17	-0.54	7
386			3.32	-0.63	5.5
386.32	2.3	-0.16	3.22	-1.01	9.2
386.63	2.2	0.26	3.31	-0.25	16.9
386.95	2.34	0.43	3.45	-0.5	20.3
387.26	2.36	0.89	3.37	0.13	21.1
387.58	2.31	0.52	3.22	0.44	24
387.89			3.25	-0.01	23.1
388.21	2.29	0.8	3.35	-0.49	26.9
388.53	2.17	-0.01	3.25	-0.41	26.3
388.84	2.31	0.6	3.39	-0.14	23.1
389.16	2.34	0.31			15.3
389.47	2.35	0.59	3.17	-0.3	4.3
389.79	2.46	0.42	3.25	-0.26	2.2
390.11	2.03	0.3	3.26	-0.71	2.5
390.42	2.18	-0.03			2.1
390.74	2.04	-0.27	3.32	-0.33	5.3
391.05			3.3	-0.56	12.1
391.37			3.49	-0.54	8.5
391.68					8.3
392			3.29	-0.22	7.2
392.55					7.3
393.1	2.25	0.49	3.38	-0.12	6.1
393.66	2.47	0.2			4.8
394.21	2.07	-0.25			4.3
394.76					4.7
395.31					3.7
395.86					5.2
396.41			3.09	-0.1	8
396.97	2.17	0.46	3.19	-0.31	7.8
397.52			3.09	-0.02	10.3
398.07			3.05	0.48	11.9
398.62			2.76	0.45	11.9
399.17			2.89	0.34	12.8
399.72			2.74	0.36	12.5
400.28			2.73	0.52	13.8
400.83			2.63	0.11	13.3
401.38					16.5
401.93			2.58	0.66	16.4
402.48					15.5
403.03			2.63	0.46	13.9
403.59					11.6
404.14			2.5	0.5	11.4
404.69			2.41	0.02	11.7
405.24			2.43	-0.2	11.8
405.79			2.45	0.65	13.4
406.34			2.36	0.2	12.9
406.9			2.34	-0.32	14.2
407.45			2.33	-0.39	16.3
408			2.31	-0.09	15.9
408.4			2.27	0.15	13.5
408.8					13.3
409.2					13.6
409.6			2.46	0.01	15
410			2.35	0.5	16.5
410.4			2.29	0.1	16
410.8			2.39	0.47	16.3
411.2					16
411.6			2.4	-0.34	17.3
412			2.45	0.21	16.8
412.4					18.7
412.8			2.54	0.17	20.4
413.2			2.44	0.37	23.5
413.6					23.8
414					24.2
414.4			2.59	0.38	24
414.8			2.63	-0.04	27
415.2			2.48	-0.04	32.4
415.6			2.75	0.05	34.6
416			2.72	-0.24	35.6
416.4	1.75	1.27	2.72	-0.01	41.3
416.8			2.83	0.09	44.1
417.2			2.83	0.12	45.1
417.6			2.73	0.2	48.1
418			2.86	-0.08	52.2
418.4			2.91	0.02	54.4
418.8	2.05	0.72			53.3
419.2	2.32	0.65	2.98	-0.08	52.4
419.6	2.21	0.52			57.3
420	2.23	0.41			58.4
420.4	2.19	0.66	2.91	0.1	59
420.8	2.33	0.57	2.94	0.1	59.6
421.2	2.32	0.57			61.6
421.6	2.38	0.56			61.8
422					61.9
422.4	2.41	0.37	3.11	0.03	63.8
422.8	2.48	0.52	3.04	-0.08	67
423.2	2.46	0.21	3.11	-0.11	66.3
423.6	2.6	0.42	3.16	0.03	70
424	2.66	0.32	3.21	-0.28	70.8
424.28	2.68	0.37	3.35	-0.29	69.4
424.56	2.66	0.15	3.18	-0.25	68.4
424.84	2.75	0.07	3.45	-0.27	68.6
425.12					65.6
425.4	2.71	0.38			64.6
425.68	2.59	0.16			62.8
425.96	2.7	0.14			61.4
426.23	2.92	0.18			64.3
426.51	2.49	-0.26	3.65	-0.19	62.2
426.79			3.68	-0.19	57.4
427.07	2.71	-0.38	3.82	-0.45	55.2
427.35	2.71	-0.14			55.3
427.63	3.19	0.3	3.98	-0.43	57.6
427.91	3	0.19			54.2
428.19	3.14	-0.18	4.25	-1.06	56.8
428.47	3.14	-0.21	4.16	-0.94	54.8
428.75	2.9	-0.51			51.6
429.31	3.11	-0.25	4.25	-1.13	48.1
429.59	3.42	-0.09	4.35	-1.35	50.3
429.87	3.21	-0.17	4.33	-1.14	52.7
430.15	3.33	-0.49	4.3	-0.97	54.1
