# DESCRIPTION:
# Reference: Barker, S., Knorr, G., Edwards, R. L., Parrenin, F., Putnam, A. E., Skinner, L. C., ... & Ziegler, M. (2011). 800,000 years of abrupt climate variability. science, 334(6054), 347-351, https://doi.org/10.1126/science.1203580
# Data from: https://doi.org/10.1126/science.1203580. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

EDC3 Age [kyr],GLT_syn δ18O [‰]
200.05,-37.68
200.1,-37.72
200.15,-37.84
200.2,-37.87
200.25,-37.8
200.3,-37.72
200.35,-37.66
200.4,-37.55
200.45,-37.49
200.5,-37.45
200.55,-37.38
200.6,-37.29
200.65,-37.29
200.7,-37.34
200.75,-37.32
200.8,-37.24
200.85,-37.12
200.9,-37.08
200.95,-37.14
201,-37.25
201.05,-37.42
201.1,-37.71
201.15,-37.92
201.2,-37.88
201.25,-37.85
201.3,-37.89
201.35,-37.97
201.4,-38.16
201.45,-38.46
201.5,-38.79
201.55,-39.13
201.6,-39.37
201.65,-39.49
201.7,-39.5
201.75,-39.45
201.8,-39.36
201.85,-39.33
201.9,-39.44
201.95,-39.57
202,-39.67
202.05,-39.67
202.1,-39.46
202.15,-39.18
202.2,-38.96
202.25,-38.82
202.3,-38.75
202.35,-38.78
202.4,-38.91
202.45,-39.04
202.5,-39.09
202.55,-39.04
202.6,-38.93
202.65,-38.84
202.7,-38.78
202.75,-38.74
202.8,-38.79
202.85,-38.89
202.9,-38.89
202.95,-38.77
203,-38.61
203.05,-38.41
203.1,-38.17
203.15,-37.93
203.2,-37.76
203.25,-37.68
203.3,-37.67
203.35,-37.6
203.4,-37.47
203.45,-37.42
203.5,-37.42
203.55,-37.33
203.6,-37.2
203.65,-37.11
203.7,-37.04
203.75,-36.98
203.8,-36.93
203.85,-36.87
203.9,-36.78
203.95,-36.69
204,-36.58
204.05,-36.47
204.1,-36.42
204.15,-36.34
204.2,-36.21
204.25,-36.14
204.3,-36.12
204.35,-36.07
204.4,-36.01
204.45,-35.98
204.5,-35.96
204.55,-36
204.6,-36.12
204.65,-36.19
204.7,-36.22
204.75,-36.21
204.8,-36.06
204.85,-35.9
204.9,-35.86
204.95,-35.91
205,-35.96
205.05,-36.04
205.1,-36.11
205.15,-36.16
205.2,-36.23
205.25,-36.29
205.3,-36.31
205.35,-36.33
205.4,-36.39
205.45,-36.49
205.5,-36.74
205.55,-37
205.6,-37.05
205.65,-36.95
205.7,-36.89
205.75,-36.86
205.8,-36.81
205.85,-36.76
205.9,-36.71
205.95,-36.65
206,-36.59
206.05,-36.52
206.1,-36.44
206.15,-36.4
206.2,-36.38
206.25,-36.37
206.3,-36.42
206.35,-36.52
206.4,-36.62
206.45,-36.74
206.5,-36.91
206.55,-37.08
206.6,-37.16
206.65,-37.2
206.7,-37.25
206.75,-37.29
206.8,-37.36
206.85,-37.37
206.9,-37.23
206.95,-37.07
207,-36.96
207.05,-36.88
207.1,-36.77
207.15,-36.63
207.2,-36.46
207.25,-36.33
207.3,-36.25
207.35,-36.15
207.4,-36.01
207.45,-35.9
207.5,-35.83
207.55,-35.76
207.6,-35.76
207.65,-35.83
207.7,-35.93
207.75,-36.02
207.8,-36.13
207.85,-36.25
207.9,-36.3
207.95,-36.23
208,-36.13
208.05,-36.12
208.1,-36.2
208.15,-36.28
208.2,-36.35
208.25,-36.4
208.3,-36.37
208.35,-36.27
208.4,-36.13
208.45,-36.04
208.5,-35.92
208.55,-35.76
208.6,-35.75
208.65,-35.93
208.7,-36.15
208.75,-36.27
208.8,-36.23
208.85,-36.14
208.9,-36.11
208.95,-36.15
209,-36.24
209.05,-36.38
209.1,-36.53
209.15,-36.53
209.2,-36.49
209.25,-36.56
209.3,-36.51
209.35,-36.31
209.4,-36.13
209.45,-36.01
209.5,-35.93
209.55,-35.89
209.6,-35.79
209.65,-35.68
209.7,-35.67
209.75,-35.58
209.8,-35.41
209.85,-35.41
209.9,-35.56
209.95,-35.65
210,-35.74
210.05,-35.92
210.1,-36.1
210.15,-36.26
210.2,-36.58
210.25,-36.84
210.3,-36.94
210.35,-36.97
210.4,-36.95
210.45,-37.06
210.5,-37.27
210.55,-37.44
210.6,-37.36
210.65,-37.15
210.7,-37.03
210.75,-36.92
210.8,-36.78
210.85,-36.65
210.9,-36.47
210.95,-36.44
211,-36.63
211.05,-36.82
211.1,-36.96
211.15,-37
211.2,-36.92
211.25,-36.78
211.3,-36.84
211.35,-37.06
211.4,-37.23
211.45,-37.32
211.5,-37.31
211.55,-37.33
211.6,-37.4
211.65,-37.31
211.7,-37.12
211.75,-37.02
211.8,-36.97
211.85,-36.93
211.9,-36.95
211.95,-37.03
212,-37.03
212.05,-36.95
212.1,-36.86
212.15,-36.85
212.2,-36.96
212.25,-36.97
212.3,-36.84
212.35,-36.8
212.4,-36.79
212.45,-36.66
212.5,-36.46
212.55,-36.33
212.6,-36.26
212.65,-36.19
212.7,-36.13
212.75,-36.13
212.8,-36.18
212.85,-36.26
212.9,-36.32
212.95,-36.41
213,-36.57
213.05,-36.71
213.1,-36.82
213.15,-36.95
213.2,-37.08
213.25,-37.11
213.3,-37.06
213.35,-37.1
213.4,-37.22
213.45,-37.31
213.5,-37.32
213.55,-37.17
213.6,-36.97
213.65,-36.83
213.7,-36.7
213.75,-36.5
213.8,-36.37
213.85,-36.34
213.9,-36.4
213.95,-36.54
214,-36.67
214.05,-36.66
214.1,-36.48
214.15,-36.28
214.2,-36.11
214.25,-36.14
214.3,-36.27
214.35,-36.2
214.4,-36.07
214.45,-36.05
214.5,-36.03
214.55,-35.97
214.6,-35.9
214.65,-35.81
214.7,-35.75
214.75,-35.75
214.8,-35.83
214.85,-35.95
214.9,-36.12
214.95,-36.21
215,-36.23
215.05,-36.46
215.1,-36.83
215.15,-37.12
215.2,-37.38
215.25,-37.62
215.3,-37.78
215.35,-37.92
215.4,-38.09
215.45,-38.27
215.5,-38.48
215.55,-38.72
215.6,-38.92
215.65,-39.04
215.7,-39.13
215.75,-39.17
215.8,-39.11
215.85,-39.02
215.9,-38.95
215.95,-38.91
216,-38.92
216.05,-38.96
216.1,-39.03
216.15,-39.07
216.2,-39.05
216.25,-38.98
216.3,-38.91
216.35,-38.93
216.4,-39.03
216.45,-39.11
216.5,-39.2
216.55,-39.34
216.6,-39.51
216.65,-39.66
216.7,-39.75
216.75,-39.74
216.8,-39.6
216.85,-39.45
216.9,-39.4
216.95,-39.41
217,-39.42
217.05,-39.4
217.1,-39.34
217.15,-39.27
217.2,-39.22
217.25,-39.11
217.3,-38.92
217.35,-38.76
217.4,-38.75
217.45,-38.88
217.5,-39.17
217.55,-39.51
217.6,-39.68
217.65,-39.66
217.7,-39.6
217.75,-39.56
217.8,-39.57
217.85,-39.59
217.9,-39.64
217.95,-39.74
218,-39.9
218.05,-39.96
218.1,-39.85
218.15,-39.62
218.2,-39.29
218.25,-38.88
218.3,-38.6
218.35,-38.5
218.4,-38.48
218.45,-38.47
218.5,-38.48
218.55,-38.48
218.6,-38.42
218.65,-38.33
218.7,-38.23
218.75,-38.18
218.8,-38.18
218.85,-38.23
218.9,-38.36
218.95,-38.6
219,-38.87
219.05,-39.11
219.1,-39.29
219.15,-39.39
219.2,-39.4
219.25,-39.38
219.3,-39.42
219.35,-39.48
219.4,-39.55
219.45,-39.65
219.5,-39.81
219.55,-39.98
219.6,-40.12
219.65,-40.15
219.7,-40.07
219.75,-39.99
219.8,-39.95
219.85,-39.99
219.9,-40.06
219.95,-40.13
220,-40.17
220.05,-40.24
220.1,-40.34
220.15,-40.43
220.2,-40.43
220.25,-40.37
220.3,-40.3
220.35,-40.29
220.4,-40.32
220.45,-40.35
220.5,-40.34
220.55,-40.31
220.6,-40.32
220.65,-40.34
220.7,-40.36
220.75,-40.36
220.8,-40.38
220.85,-40.46
220.9,-40.62
220.95,-40.81
221,-40.98
221.05,-41.11
221.1,-41.18
221.15,-41.2
221.2,-41.17
221.25,-41.09
221.3,-40.98
221.35,-40.88
221.4,-40.83
221.45,-40.74
221.5,-40.54
221.55,-40.23
221.6,-39.85
221.65,-39.54
221.7,-39.3
221.75,-39.12
221.8,-39.03
221.85,-39.02
221.9,-39.11
221.95,-39.26
222,-39.44
222.05,-39.63
222.1,-39.77
222.15,-39.9
222.2,-40.05
222.25,-40.26
222.3,-40.49
222.35,-40.68
222.4,-40.79
222.45,-40.84
222.5,-40.83
222.55,-40.77
222.6,-40.7
222.65,-40.64
222.7,-40.58
222.75,-40.49
222.8,-40.38
222.85,-40.28
222.9,-40.2
222.95,-40.12
223,-40.04
223.05,-39.96
223.1,-39.91
223.15,-39.91
223.2,-39.95
223.25,-40.01
223.3,-40.03
223.35,-40
223.4,-39.93
223.45,-39.89
223.5,-39.87
223.55,-39.89
223.6,-39.91
223.65,-39.91
223.7,-39.91
223.75,-39.89
223.8,-39.85
223.85,-39.77
223.9,-39.67
223.95,-39.54
224,-39.44
224.05,-39.34
224.1,-39.26
224.15,-39.2
224.2,-39.17
224.25,-39.14
224.3,-39.09
224.35,-39
224.4,-38.88
224.45,-38.77
224.5,-38.7
224.55,-38.69
224.6,-38.71
224.65,-38.77
224.7,-38.84
224.75,-38.91
224.8,-38.92
224.85,-38.85
224.9,-38.7
224.95,-38.52
225,-38.41
225.05,-38.36
225.1,-38.36
225.15,-38.35
225.2,-38.28
225.25,-38.15
225.3,-37.96
225.35,-37.73
225.4,-37.42
225.45,-37.1
225.5,-36.85
225.55,-36.69
225.6,-36.61
225.65,-36.6
225.7,-36.65
225.75,-36.71
225.8,-36.77
225.85,-36.83
225.9,-36.94
225.95,-37.13
226,-37.4
226.05,-37.74
226.1,-38.16
226.15,-38.65
226.2,-39.13
226.25,-39.59
226.3,-40.03
226.35,-40.36
226.4,-40.56
226.45,-40.69
226.5,-40.84
226.55,-41
226.6,-41.16
226.65,-41.25
226.7,-41.28
226.75,-41.31
226.8,-41.35
226.85,-41.38
226.9,-41.42
226.95,-41.48
227,-41.56
227.05,-41.68
227.1,-41.83
227.15,-41.94
227.2,-42.01
227.25,-42.04
227.3,-42.07
227.35,-42.12
227.4,-42.14
227.45,-42.12
227.5,-42.05
227.55,-41.98
227.6,-41.89
227.65,-41.76
227.7,-41.59
227.75,-41.41
227.8,-41.25
227.85,-41.17
227.9,-41.14
227.95,-41.17
228,-41.18
228.05,-41.17
228.1,-41.13
228.15,-41.09
228.2,-41.02
228.25,-40.92
228.3,-40.8
228.35,-40.66
228.4,-40.53
228.45,-40.39
228.5,-40.23
228.55,-40.03
228.6,-39.78
228.65,-39.49
228.7,-39.17
228.75,-38.83
228.8,-38.47
228.85,-38.11
228.9,-37.78
228.95,-37.5
229,-37.23
229.05,-36.92
229.1,-36.57
229.15,-36.27
229.2,-36.12
229.25,-36.09
229.3,-36.14
229.35,-36.2
229.4,-36.3
229.45,-36.51
229.5,-36.83
229.55,-37.22
229.6,-37.59
229.65,-37.96
229.7,-38.4
229.75,-39
229.8,-39.74
229.85,-40.44
229.9,-40.93
229.95,-41.22
230,-41.39
230.05,-41.58
230.1,-41.78
230.15,-41.93
230.2,-42
230.25,-42.02
230.3,-42.03
230.35,-41.98
230.4,-41.83
230.45,-41.52
230.5,-41.11
230.55,-40.68
230.6,-40.33
230.65,-40.06
230.7,-39.84
230.75,-39.61
230.8,-39.35
230.85,-39.1
230.9,-38.86
230.95,-38.63
231,-38.42
231.05,-38.24
231.1,-38.09
231.15,-37.96
231.2,-37.83
231.25,-37.72
231.3,-37.62
231.35,-37.54
231.4,-37.48
231.45,-37.42
231.5,-37.35
231.55,-37.27
231.6,-37.19
231.65,-37.15
231.7,-37.14
231.75,-37.17
231.8,-37.21
231.85,-37.28
231.9,-37.39
231.95,-37.54
232,-37.69
232.05,-37.84
232.1,-37.99
232.15,-38.15
232.2,-38.34
232.25,-38.55
232.3,-38.74
232.35,-38.85
232.4,-38.9
232.45,-38.93
232.5,-38.96
232.55,-38.98
232.6,-38.97
232.65,-38.91
232.7,-38.84
232.75,-38.76
232.8,-38.69
232.85,-38.56
232.9,-38.36
232.95,-38.12
233,-37.93
233.05,-37.8
233.1,-37.7
233.15,-37.58
233.2,-37.43
233.25,-37.29
233.3,-37.17
233.35,-37.07
233.4,-36.96
233.45,-36.85
233.5,-36.74
233.55,-36.72
233.6,-36.82
233.65,-36.98
233.7,-37.1
233.75,-37.17
233.8,-37.23
233.85,-37.32
233.9,-37.44
233.95,-37.56
234,-37.67
234.05,-37.77
234.1,-37.88
234.15,-37.98
234.2,-38.07
234.25,-38.04
234.3,-37.89
234.35,-37.66
234.4,-37.47
234.45,-37.33
234.5,-37.18
234.55,-36.99
234.6,-36.78
234.65,-36.57
234.7,-36.39
234.75,-36.23
234.8,-36.08
234.85,-35.92
234.9,-35.77
234.95,-35.73
235,-35.86
235.05,-36.08
235.1,-36.26
235.15,-36.37
235.2,-36.49
235.25,-36.65
235.3,-36.83
235.35,-36.97
235.4,-37.06
235.45,-37.09
235.5,-37.06
235.55,-37.02
235.6,-37.03
235.65,-37.07
235.7,-36.99
235.75,-36.78
235.8,-36.56
235.85,-36.41
235.9,-36.29
235.95,-36.14
236,-35.97
236.05,-35.85
236.1,-35.85
236.15,-35.94
236.2,-36.09
236.25,-36.29
236.3,-36.41
236.35,-36.42
236.4,-36.46
236.45,-36.6
236.5,-36.8
236.55,-36.91
236.6,-36.95
236.65,-37.03
236.7,-37.19
236.75,-37.3
236.8,-37.26
236.85,-37.17
236.9,-37.12
236.95,-37.12
237,-37.11
237.05,-37.11
237.1,-37.07
237.15,-36.97
237.2,-36.83
237.25,-36.74
237.3,-36.71
237.35,-36.66
237.4,-36.56
237.45,-36.52
237.5,-36.59
237.55,-36.68
237.6,-36.68
237.65,-36.58
237.7,-36.46
237.75,-36.35
237.8,-36.29
237.85,-36.28
237.9,-36.28
237.95,-36.3
238,-36.36
238.05,-36.45
238.1,-36.5
238.15,-36.42
238.2,-36.26
238.25,-36.06
238.3,-35.86
238.35,-35.72
238.4,-35.7
238.45,-35.76
238.5,-35.83
238.55,-35.87
238.6,-35.93
238.65,-35.96
238.7,-35.83
238.75,-35.67
238.8,-35.64
238.85,-35.79
238.9,-36.02
238.95,-36.24
239,-36.47
239.05,-36.68
239.1,-36.77
239.15,-36.71
239.2,-36.48
239.25,-36.21
239.3,-35.97
239.35,-35.84
239.4,-35.89
239.45,-35.93
239.5,-35.77
239.55,-35.45
239.6,-35.09
239.65,-34.73
239.7,-34.4
239.75,-34.11
239.8,-33.91
239.85,-33.85
239.9,-34.03
239.95,-34.33
240,-34.51
240.05,-34.54
240.1,-34.39
240.15,-34.26
240.2,-34.28
240.25,-34.41
240.3,-34.55
240.35,-34.68
240.4,-34.78
240.45,-34.85
240.5,-34.81
240.55,-34.7
240.6,-34.46
240.65,-34.17
240.7,-33.93
240.75,-33.77
240.8,-33.8
240.85,-33.86
240.9,-33.75
240.95,-33.62
241,-33.5
241.05,-33.35
241.1,-33.17
241.15,-32.98
241.2,-32.84
241.25,-32.75
241.3,-32.71
241.35,-32.68
241.4,-32.67
241.45,-32.66
241.5,-32.53
241.55,-32.38
241.6,-32.37
241.65,-32.32
241.7,-32.25
241.75,-32.33
241.8,-32.56
241.85,-32.92
241.9,-33.31
241.95,-33.67
242,-33.96
242.05,-34.21
242.1,-34.56
242.15,-34.96
242.2,-35.24
242.25,-35.49
242.3,-35.78
242.35,-36.16
242.4,-36.54
242.45,-36.86
242.5,-37.12
242.55,-37.28
242.6,-37.38
242.65,-37.5
242.7,-37.68
242.75,-37.83
242.8,-37.82
242.85,-37.68
242.9,-37.75
242.95,-37.89
243,-37.95
243.05,-37.96
243.1,-38.01
243.15,-38.01
243.2,-37.97
243.25,-37.92
243.3,-37.87
243.35,-37.82
243.4,-37.78
243.45,-37.9
243.5,-38.17
243.55,-38.51
243.6,-38.85
243.65,-39.2
243.7,-39.55
243.75,-39.82
243.8,-39.99
243.85,-40.13
243.9,-40.26
243.95,-40.43
244,-40.63
244.05,-40.83
244.1,-40.95
244.15,-40.93
244.2,-40.84
244.25,-40.69
244.3,-40.43
244.35,-40.09
244.4,-39.77
244.45,-39.55
244.5,-39.43
244.55,-39.39
244.6,-39.37
244.65,-39.29
244.7,-39.18
244.75,-39.13
244.8,-39.17
244.85,-39.19
244.9,-39.14
244.95,-39.09
245,-39.14
245.05,-39.24
245.1,-39.34
245.15,-39.43
245.2,-39.51
245.25,-39.53
245.3,-39.5
245.35,-39.5
245.4,-39.53
245.45,-39.49
245.5,-39.38
245.55,-39.34
245.6,-39.46
245.65,-39.63
245.7,-39.76
245.75,-39.85
245.8,-39.91
245.85,-39.92
245.9,-39.9
245.95,-39.96
246,-40.15
246.05,-40.41
246.1,-40.65
246.15,-40.86
246.2,-41.03
246.25,-41.11
246.3,-41.1
246.35,-41.03
246.4,-40.95
246.45,-40.87
246.5,-40.82
246.55,-40.78
246.6,-40.75
246.65,-40.6
246.7,-40.26
246.75,-39.76
246.8,-39.18
246.85,-38.64
246.9,-38.18
246.95,-37.78
247,-37.46
247.05,-37.19
247.1,-36.96
247.15,-36.77
247.2,-36.59
247.25,-36.4
247.3,-36.17
247.35,-36
247.4,-35.96
247.45,-36.07
247.5,-36.28
247.55,-36.52
247.6,-36.78
247.65,-37.01
247.7,-37.18
247.75,-37.34
247.8,-37.47
247.85,-37.58
247.9,-37.63
247.95,-37.67
248,-37.78
248.05,-37.93
248.1,-38.1
248.15,-38.24
248.2,-38.36
248.25,-38.49
248.3,-38.64
248.35,-38.79
248.4,-38.94
248.45,-39.03
248.5,-39.08
248.55,-39.11
248.6,-39.19
248.65,-39.33
248.7,-39.49
248.75,-39.64
248.8,-39.77
248.85,-39.88
248.9,-39.94
248.95,-39.94
249,-39.89
249.05,-39.85
249.1,-39.87
249.15,-39.97
249.2,-40.13
249.25,-40.29
249.3,-40.43
249.35,-40.55
249.4,-40.62
249.45,-40.66
249.5,-40.67
249.55,-40.68
249.6,-40.68
249.65,-40.7
249.7,-40.71
249.75,-40.7
249.8,-40.65
249.85,-40.56
249.9,-40.47
249.95,-40.4
250,-40.33
250.05,-40.26
250.1,-40.16
250.15,-40.03
250.2,-39.86
250.25,-39.72
250.3,-39.62
250.35,-39.56
250.4,-39.55
250.45,-39.52
250.5,-39.48
250.55,-39.42
250.6,-39.34
250.65,-39.24
250.7,-39.12
250.75,-39.01
250.8,-38.94
250.85,-38.92
250.9,-38.97
250.95,-39.04
251,-39.11
251.05,-39.18
251.1,-39.27
251.15,-39.4
251.2,-39.56
251.25,-39.74
251.3,-39.95
251.35,-40.19
251.4,-40.43
251.45,-40.68
251.5,-40.9
251.55,-41.08
251.6,-41.22
251.65,-41.31
251.7,-41.35
251.75,-41.33
251.8,-41.25
251.85,-41.14
251.9,-41.01
251.95,-40.85
252,-40.65
252.05,-40.39
252.1,-40.13
252.15,-39.88
252.2,-39.68
252.25,-39.54
252.3,-39.45
252.35,-39.37
252.4,-39.32
252.45,-39.28
252.5,-39.24
252.55,-39.23
252.6,-39.23
252.65,-39.29
252.7,-39.42
252.75,-39.61
252.8,-39.84
252.85,-40.04
252.9,-40.16
252.95,-40.2
253,-40.15
253.05,-40.09
253.1,-40.04
253.15,-40.01
253.2,-40.01
253.25,-39.98
253.3,-39.9
253.35,-39.77
253.4,-39.58
253.45,-39.36
253.5,-39.11
253.55,-38.86
253.6,-38.64
253.65,-38.51
253.7,-38.48
253.75,-38.52
253.8,-38.62
253.85,-38.73
253.9,-38.84
253.95,-38.99
254,-39.17
254.05,-39.37
254.1,-39.58
254.15,-39.77
254.2,-39.97
254.25,-40.18
254.3,-40.39
254.35,-40.56
254.4,-40.64
254.45,-40.64
254.5,-40.57
254.55,-40.49
254.6,-40.38
254.65,-40.26
254.7,-40.13
254.75,-40.01
254.8,-39.92
254.85,-39.85
254.9,-39.8
254.95,-39.75
255,-39.76
255.05,-39.83
255.1,-39.99
255.15,-40.18
255.2,-40.34
255.25,-40.46
255.3,-40.53
255.35,-40.59
255.4,-40.64
255.45,-40.66
255.5,-40.67
255.55,-40.67
255.6,-40.66
255.65,-40.65
255.7,-40.54
255.75,-40.32
255.8,-39.98
255.85,-39.58
255.9,-39.23
255.95,-38.96
256,-38.75
256.05,-38.6
256.1,-38.48
256.15,-38.41
256.2,-38.39
256.25,-38.39
256.3,-38.37
256.35,-38.34
256.4,-38.32
256.45,-38.37
256.5,-38.49
256.55,-38.68
256.6,-38.87
256.65,-39.07
256.7,-39.3
256.75,-39.55
256.8,-39.8
256.85,-39.96
256.9,-40.02
256.95,-40
257,-39.99
257.05,-40
257.1,-40.03
257.15,-40.08
257.2,-40.12
257.25,-40.16
257.3,-40.21
257.35,-40.19
257.4,-40.05
257.45,-39.81
257.5,-39.51
257.55,-39.26
257.6,-39.1
257.65,-39.01
257.7,-38.95
257.75,-38.86
257.8,-38.76
257.85,-38.64
257.9,-38.53
257.95,-38.43
258,-38.33
258.05,-38.29
258.1,-38.35
258.15,-38.51
258.2,-38.75
258.25,-38.99
258.3,-39.2
258.35,-39.4
258.4,-39.59
258.45,-39.83
258.5,-40.13
258.55,-40.46
258.6,-40.78
258.65,-41.08
258.7,-41.36
258.75,-41.62
258.8,-41.78
258.85,-41.83
258.9,-41.79
258.95,-41.71
259,-41.63
259.05,-41.55
259.1,-41.46
259.15,-41.33
259.2,-41.14
259.25,-40.91
259.3,-40.66
259.35,-40.38
259.4,-40.1
259.45,-39.81
259.5,-39.63
259.55,-39.56
259.6,-39.61
259.65,-39.73
259.7,-39.87
259.75,-40
259.8,-40.13
259.85,-40.25
259.9,-40.36
259.95,-40.48
260,-40.62
260.05,-40.76
260.1,-40.88
260.15,-40.94
260.2,-40.88
260.25,-40.69
260.3,-40.4
260.35,-40.08
260.4,-39.74
260.45,-39.44
260.5,-39.18
260.55,-38.93
260.6,-38.7
260.65,-38.47
260.7,-38.26
260.75,-38.07
260.8,-37.92
260.85,-37.91
260.9,-38.05
260.95,-38.32
261,-38.69
261.05,-39.05
261.1,-39.38
261.15,-39.67
261.2,-39.96
261.25,-40.25
261.3,-40.53
261.35,-40.81
261.4,-41.04
261.45,-41.22
261.5,-41.35
261.55,-41.39
261.6,-41.32
261.65,-41.15
261.7,-40.93
261.75,-40.7
261.8,-40.48
261.85,-40.26
261.9,-40.02
261.95,-39.8
262,-39.6
262.05,-39.4
262.1,-39.21
262.15,-39.04
262.2,-38.93
262.25,-38.9
262.3,-38.96
262.35,-39.06
262.4,-39.17
262.45,-39.24
262.5,-39.29
262.55,-39.29
262.6,-39.25
262.65,-39.14
262.7,-38.99
262.75,-38.86
262.8,-38.78
262.85,-38.75
262.9,-38.69
262.95,-38.54
263,-38.31
263.05,-38.02
263.1,-37.79
263.15,-37.66
263.2,-37.63
263.25,-37.68
263.3,-37.81
263.35,-37.99
263.4,-38.24
263.45,-38.49
263.5,-38.73
263.55,-38.95
263.6,-39.19
263.65,-39.48
263.7,-39.82
263.75,-40.21
263.8,-40.54
263.85,-40.76
263.9,-40.87
263.95,-40.92
264,-40.95
264.05,-40.97
264.1,-40.96
264.15,-40.94
264.2,-40.91
264.25,-40.89
264.3,-40.86
264.35,-40.8
264.4,-40.7
264.45,-40.58
264.5,-40.48
264.55,-40.45
264.6,-40.47
264.65,-40.53
264.7,-40.6
264.75,-40.67
264.8,-40.73
264.85,-40.77
264.9,-40.78
264.95,-40.75
265,-40.71
265.05,-40.67
265.1,-40.66
265.15,-40.67
265.2,-40.68
265.25,-40.68
265.3,-40.67
265.35,-40.64
265.4,-40.6
265.45,-40.58
265.5,-40.58
265.55,-40.62
265.6,-40.71
265.65,-40.81
265.7,-40.92
265.75,-41.01
265.8,-41.08
265.85,-41.14
265.9,-41.17
265.95,-41.19
266,-41.19
266.05,-41.18
266.1,-41.16
266.15,-41.11
266.2,-41
266.25,-40.83
266.3,-40.62
266.35,-40.4
266.4,-40.22
266.45,-40.09
266.5,-40
266.55,-39.95
266.6,-39.93
266.65,-39.95
266.7,-40.01
266.75,-40.1
266.8,-40.21
266.85,-40.35
266.9,-40.56
266.95,-40.83
267,-41.14
267.05,-41.43
267.1,-41.67
267.15,-41.85
267.2,-41.95
267.25,-41.99
267.3,-41.96
267.35,-41.88
267.4,-41.75
267.45,-41.61
267.5,-41.46
267.55,-41.29
267.6,-41.1
267.65,-40.88
267.7,-40.64
267.75,-40.4
267.8,-40.19
267.85,-40.01
267.9,-39.89
267.95,-39.83
268,-39.84
268.05,-39.91
268.1,-39.99
268.15,-40.07
268.2,-40.14
268.25,-40.21
268.3,-40.28
268.35,-40.37
268.4,-40.48
268.45,-40.59
268.5,-40.71
268.55,-40.82
268.6,-40.89
268.65,-40.94
268.7,-40.96
268.75,-40.97
268.8,-40.99
268.85,-41.02
268.9,-41.06
268.95,-41.1
269,-41.13
269.05,-41.15
269.1,-41.14
269.15,-41.11
269.2,-41.07
269.25,-41.03
269.3,-40.99
269.35,-40.97
269.4,-40.96
269.45,-40.95
269.5,-40.95
269.55,-40.95
269.6,-40.91
269.65,-40.85
269.7,-40.76
269.75,-40.65
269.8,-40.54
269.85,-40.45
269.9,-40.4
269.95,-40.37
270,-40.37
270.05,-40.39
270.1,-40.37
270.15,-40.34
270.2,-40.29
270.25,-40.24
270.3,-40.24
270.35,-40.32
270.4,-40.46
270.45,-40.66
270.5,-40.88
270.55,-41.08
270.6,-41.26
270.65,-41.42
270.7,-41.54
270.75,-41.63
270.8,-41.71
270.85,-41.76
270.9,-41.81
270.95,-41.84
271,-41.83
271.05,-41.77
271.1,-41.66
271.15,-41.51
271.2,-41.37
271.25,-41.25
271.3,-41.15
271.35,-41.06
271.4,-40.99
271.45,-40.94
271.5,-40.91
271.55,-40.89
271.6,-40.9
271.65,-40.91
271.7,-40.92
271.75,-40.94
271.8,-40.97
271.85,-41
271.9,-41.01
271.95,-41
272,-40.96
272.05,-40.91
272.1,-40.86
272.15,-40.81
272.2,-40.78
272.25,-40.76
272.3,-40.75
272.35,-40.75
272.4,-40.74
272.45,-40.73
272.5,-40.72
272.55,-40.71
272.6,-40.71
272.65,-40.71
272.7,-40.73
272.75,-40.75
272.8,-40.77
272.85,-40.78
272.9,-40.78
272.95,-40.76
273,-40.73
273.05,-40.7
273.1,-40.67
273.15,-40.65
273.2,-40.62
273.25,-40.6
273.3,-40.58
273.35,-40.58
273.4,-40.59
273.45,-40.61
273.5,-40.64
273.55,-40.66
273.6,-40.68
273.65,-40.69
273.7,-40.69
273.75,-40.69
273.8,-40.67
273.85,-40.65
273.9,-40.63
273.95,-40.59
274,-40.56
274.05,-40.53
274.1,-40.49
274.15,-40.46
274.2,-40.42
274.25,-40.37
274.3,-40.32
274.35,-40.27
274.4,-40.22
274.45,-40.2
274.5,-40.22
274.55,-40.28
274.6,-40.38
274.65,-40.49
274.7,-40.59
274.75,-40.66
274.8,-40.71
274.85,-40.74
274.9,-40.76
274.95,-40.77
275,-40.79
275.05,-40.81
275.1,-40.81
275.15,-40.78
275.2,-40.69
275.25,-40.55
275.3,-40.37
275.35,-40.17
275.4,-40
275.45,-39.83
275.5,-39.69
275.55,-39.57
275.6,-39.5
275.65,-39.47
275.7,-39.49
275.75,-39.56
275.8,-39.67
275.85,-39.83
275.9,-40.05
275.95,-40.3
276,-40.57
276.05,-40.82
276.1,-41.03
276.15,-41.2
276.2,-41.36
276.25,-41.5
276.3,-41.62
276.35,-41.7
276.4,-41.75
276.45,-41.77
276.5,-41.75
276.55,-41.71
276.6,-41.64
276.65,-41.55
276.7,-41.44
276.75,-41.35
276.8,-41.26
276.85,-41.19
276.9,-41.11
276.95,-41
277,-40.85
277.05,-40.66
277.1,-40.44
277.15,-40.2
277.2,-39.95
277.25,-39.69
277.3,-39.41
277.35,-39.14
277.4,-38.93
277.45,-38.79
277.5,-38.72
277.55,-38.71
277.6,-38.75
277.65,-38.85
